rank_diff,elo_diff,grass_win_pct_diff,form5_grass_diff,form10_all_diff,rest_days_diff,month_sin,month_cos,is_wimbledon,round_encoded,label,year,tourney_name,winner_name,loser_name
-39.0,-9.762559130125055,0.11688311688311687,-0.0,-0.12857142857142856,-341.0,1.2246467991473532e-16,-1.0,0,0,0,2008,stella artois,mathieu p.h.,cilic m.
-1198.0,16.0,-0.0,-0.0,-0.0,-365.0,-0.4999999999999997,-0.8660254037844388,0,0,0,2003,hall of fame championships,kim a.,shimada t.
-76.0,-75.587839099255,-0.11666666666666659,-0.20000000000000007,-0.10000000000000009,-0.0,1.2246467991473532e-16,-1.0,0,0,0,2002,queens club,henman t.,sluiter r.
-12.0,18.57530424873562,0.052955665024630505,-0.20000000000000007,0.09999999999999998,-0.0,1.2246467991473532e-16,-1.0,0,0,0,2005,nottingham open,mirnyi m.,carlsen k.
26.0,4.854436336514254,0.027995520716685318,-0.0,-0.0,-0.0,1.2246467991473532e-16,-1.0,0,0,0,2023,halle open,bublik a.,zverev a.
-27.0,-5.278335120551446,-0.2,-0.2,-0.2,1079.0,1.2246467991473532e-16,-1.0,0,0,0,2021,viking international,popyrin a.,gombos n.
-165.0,29.64209343468474,0.032258064516129004,0.19999999999999996,-0.09999999999999998,1.0,1.2246467991473532e-16,-1.0,0,0,0,2021,queen's club championships,tiafoe f.,troicki v.
29.0,283.15008604722675,0.28798185941043086,0.4,0.4,0.0,1.2246467991473532e-16,-1.0,1,0,1,2011,wimbledon,murray a.,ljubicic i.
-50.0,-215.67345780858318,-0.1724137931034483,-0.4,-0.19999999999999996,-0.0,1.2246467991473532e-16,-1.0,0,0,0,2013,gerry weber open,kohlschreiber p.,kamke t.
-40.0,33.324640304186914,0.5,0.5,0.5,-7.0,-0.4999999999999997,-0.8660254037844388,1,1,1,2024,wimbledon,yoshihito nishioka,nuno borges
-60.0,-48.33258552561642,-0.2142857142857143,-0.30000000000000004,-0.2142857142857143,7.0,-0.4999999999999997,-0.8660254037844388,1,1,0,2024,wimbledon,alexander zverev,roberto carballes baena
-11.0,257.53676242877054,0.22245762711864403,0.20000000000000007,0.17500000000000004,0.0,1.2246467991473532e-16,-1.0,0,0,1,2006,stella artois,hewitt l.,nadal r.
101.0,-8.798786242835149,0.3333333333333333,0.3333333333333333,0.3333333333333333,335.0,1.2246467991473532e-16,-1.0,0,0,0,2011,aegon championships,ebden m.,devvarman s.
-51.0,24.895725003096004,0.12324929971988796,-0.0,-0.0,357.0,1.2246467991473532e-16,-1.0,1,0,0,2005,wimbledon,novak j.,wessels p.
-42.0,-77.8978098044347,-0.6111111111111112,-0.6,-0.7,4.0,1.2246467991473532e-16,-1.0,0,0,1,2007,ordina open,roitman s.,kohlschreiber p.
-16.0,-49.264482919987586,-0.261904761904762,-0.4,-0.261904761904762,-350.0,1.2246467991473532e-16,-1.0,0,0,1,2001,stella artois,rusedski g.,voltchkov v.
-53.0,175.88629556914975,0.21616541353383462,0.0,0.19999999999999996,-12.0,-0.4999999999999997,-0.8660254037844388,0,0,1,2023,hall of fame championships,isner j.,moutet c.
-227.0,-31.916368766592313,-0.5555555555555556,-0.6,-0.5555555555555556,10.0,1.2246467991473532e-16,-1.0,1,0,0,2006,wimbledon,seppi a.,baker j.
19.0,0.0,0.0,0.0,0.0,0.0,1.2246467991473532e-16,-1.0,1,0,1,2021,wimbledon,hoang a.,zhang zh.
28.0,156.76074293084935,0.054763000460193334,0.4,0.4,1.0,1.2246467991473532e-16,-1.0,1,0,1,2013,wimbledon,cilic m.,baghdatis m.
36.0,-11.997143025117566,0.0,0.09999999999999998,0.0,0.0,1.2246467991473532e-16,-1.0,1,0,1,2012,wimbledon,goffin d.,levine j.
131.0,0.0,0.0,0.0,0.0,0.0,1.2246467991473532e-16,-1.0,0,0,1,2023,mallorca championships,kotov p.,tu l.
-86.0,-101.16720037859545,-0.26111111111111107,-0.35,-0.35,-4.0,1.2246467991473532e-16,-1.0,1,0,0,2010,wimbledon,melzer j.,brown d.
-27.0,6.201320070536212,0.05882352941176472,0.0,0.0,1.0,1.2246467991473532e-16,-1.0,0,0,1,2021,queen's club championships,norrie c.,shapovalov d.
7.0,95.38029350262059,0.18144499178981938,0.0,0.19999999999999996,0.0,1.2246467991473532e-16,-1.0,0,0,1,2010,aegon championships,lopez f.,benneteau j.
-18.0,-122.93089982187666,-0.22821969696969702,-0.19999999999999996,-0.09999999999999998,-0.0,1.2246467991473532e-16,-1.0,1,0,0,2009,wimbledon,berdych t.,mathieu p.h.
161.0,-173.30182179979874,-0.3106060606060606,0.0,-0.06666666666666671,-10.0,1.2246467991473532e-16,-1.0,0,0,1,2022,mallorca championships,griekspoor t.,lopez f.
-21.0,114.8453702150075,0.04342105263157903,0.4,0.20000000000000007,0.0,1.2246467991473532e-16,-1.0,1,0,1,2009,wimbledon,haas t.,cilic m.
81.0,0.5943414924925037,-0.09999999999999998,-0.0,-0.0,2.0,-0.4999999999999997,-0.8660254037844388,0,0,0,2009,hall of fame championships,levine j.,petzschner p.
